#;Название;Категории;Сайт;Email;Адрес;Широта;Долгота;Телефоны;Тип;Время работы;Информация;Цвет;Оплачена;Исключена из ЛК
1508162;Дополнительный офис, Алексинский отдел, Управление федеральной службы государственной регистрации кадастра и картографии;Другое;http://www.to71.rosreestr.ru;;Тульская обл., округ Алексин, Алексин, ул. Героев Алексинцев, 10;54.498445;37.064677;+7 (48753) 4-11-54, 8 (800) 100-34-34, +7 (48753) 4-20-10;org;;;;Нет;Нет
1508164;Газпром межрегионгаз, Алексинская р-нная служба - Алексинский участок, г. Алексин;Другое;http://www.mrgtula.ru;;Тульская обл., Алексин г., ул. Пионерская, 18;54.495198;37.059907;+7 (48753) 4-88-92;org;"пн-чт 8:00-17:00, перерыв 12:00-12:48; пт 8:00-16:00, перерыв 12:00-12:48";;;Нет;Нет
1508165;Универсам Магнит;Магнит;http://www.magnit-info.ru;;Тульская обл., Алексин г., ул. Пионерская, 12а;54.496563;37.063009;8 (800) 200-90-02;org;ежедневно, 10:00-22:00;;;Нет;Нет
1508166;Церковь Воздвижения Честного Креста Господня в Алексине;Церкви, храмы, монастыри;;;Тульская обл., г. Алексин, мкрн. Горушки, ул. Арматурная, 20А;54.519161;37.049882;;org;;;;Нет;Нет
1508167;УФК по Тульской области, отделение № 17;Другое;http://tula.roskazna.ru;;Тульская обл., Алексин г., ул. Октябрьская, 1;54.498047;37.062899;+7 (48753) 4-94-86;org;;;;Нет;Нет
1508169;Фонд Социального Страхования;Страховые компании;http://www.fss.ru;;Тульская обл., округ Алексин, Алексин, ул. Героев Алексинцев, 8а;54.499062;37.063087;+7 (48753) 4-14-49;org;;;;Нет;Нет
1508170;Юнистрим;Другое;http://www.unistream.ru;;Тульская обл., Алексин г., ул. Ленина, 14;54.5007;37.0669;+7 (4872) 24-88-31, +7 (48753) 4-74-22, 8 (800) 333-22-44;org;"пн-пт 9:00-17:00; сб 9:00-16:00";;;Нет;Нет
1508171;ИнтерПромЭнерго Тула;Другое;;;Тульская обл., Алексинский р-н, Алексин, ул. Героев Алексинцев, 8, оф. 19;54.499674;37.063887;+7 (48753) 4-89-51;org;пн-пт 9:00-18:00;;;Нет;Нет
1508172;Главное управление МЧС России по Тульской области управление по г. Алексин;"Пожарная охрана; МЧС";;;Тульская обл., Алексин г., ул. Пионерская, 1;54.496772;37.066249;+7 (48753) 4-18-49;org;;;;Нет;Нет
1508173;Общественная приемная правительства Тульской области г. Алексин;Другое;;;Тульская обл., Алексинский р-н, Алексин, ул. Пионерская, 8;54.497242;37.063959;+7 (48753) 4-78-98;org;;;;Нет;Нет
1508174;Western Union;Другое;http://www.westernunion.ru;;Тульская обл., Алексин г., ул. Октябрьская, 2, ФГУП Почта России;54.497546;37.061488;8 (800) 200-22-32;org;"вт-сб 8:00-20:00; вс 8:00-18:00";;;Нет;Нет
1508175;Western Union;Другое;http://www.westernunion.ru;;Тульская обл., Алексин г., ул. Ленина, 14, ПАО МИнБанк;54.5005;37.067103;8 (800) 200-22-32;org;пн-пт 9:00-16:00, перерыв 13:00-14:00;;;Нет;Нет
1508176;Министерство труда и социальной защиты Тульской области, территориальный отдел опеки по Алексинскому району и Р.П. Новогуровский;Социальная защита;;;Тульская обл., Алексинский р-н, Алексин г., ул. Пионерская, 8;54.497242;37.063959;+7 (48753) 4-47-60;org;;;;Нет;Нет
1508177;Производственное объединение Стройтехсервис 21;Другое;http://keramzitka.ru;;Тульская обл., Городской округ Алексин, Алексин, ул. Набережная, 40а;54.489425;37.060267;+7 (495) 790-31-50, +7 (963) 933-22-22, +7 (903) 845-22-22;org;ежедневно, 9:00-20:00;;;Нет;Нет
1508178;Росгосстрах Банк;Росгосстрах Банк;http://rgsbank.ru;;Тульская обл., Алексин г., ул. Пахомова, 9;54.501101;37.070004;+7 (48753) 4-06-67, 8 (800) 700-40-40;org;"пн-чт 8:30-17:30; пт 8:30-16:30; сб 10:00-14:00";;;Нет;Нет
1508179;Банк Россия, банкомат;Банк Россия;http://web.abr.ru;;Тульская обл., округ Алексин, Алексин, ул. Пионерская, 18;54.495259;37.060087;8 (800) 100-11-11;org;пн-пт 8:00-17:00;;;Нет;Нет
1508181;Московский индустриальный банк, банкомат;Московский индустриальный банк;http://www.minbank.ru;;Тульская обл., Алексин г., ул. Ленина, 14;54.500599;37.067107;+7 (4872) 34-14-73, 8 (800) 100-74-74;org;;;;Нет;Нет
1508182;"Отдел по вопросам миграции МОМВД России ""Алексинский"" (бывшее УФМС)";"ФМС; Полиция";;;Тульская обл., г. Алексин, ул. Мира 10А;54.503699;37.072115;+7 (48753) 4-38-57, +7 (48753) 4-78-64;org;"Каждый кабинет работает по-своему графику
Обед:13.00 – 13.48
Среда - не приемный день для граждан
Суббота - выдача российский паспартов РФ (внутренний)";P.s - Все операции по регистрации граждан и замене паспорта через МФЦ;;Нет;Нет
1508183;Клуб Развития и Обучения Детей Озорник;Другое;http://ozornik-tula.ru;;Тульская обл., Алексинский р-н, Алексин, ул. Героев Алексинцев, 8а;54.499062;37.063087;+7 (953) 420-92-39;org;;;;Нет;Нет
1508184;Администрация МО г. Алексин, Глава МО;Администрация района;https://aleksin.tularegion.ru;adm.aleksin@tularegion.ru;Тульская обл., Алексинский р-н, Алексин г., ул. Героев-Алексинцев, 10;54.498445;37.064677;+7 (48753) 4-03-78;org;"Прием граждан:
10:00-12:00 
1 и 3 четверг, 2 и 4 суббота месяца 
";;;Нет;Нет
1508185;Микро Капитал Руссия;Другое;https://микрокапитал.рф;;Тульская обл., Алексин г., ул. Пахомова, 11а;54.501096;37.072097;+7 (48753) 4-08-67;org;пн-пт 9:00-19:00;;;Нет;Нет
1508186;Магазин № 5, ТД Вега;Продукты;;;Тульская обл., Алексинский р-н, Алексин г., ул. Октябрьская, 2;54.497546;37.061488;+7 (48753) 4-92-55;org;;;;Нет;Нет
1508187;Уютный дом;Мягкая мебель;;;Тульская обл., Алексин г., ул. Октябрьская, 2а;54.497608;37.060536;+7 (953) 190-47-57;org;пн-пт 10:00-19:00;;;Нет;Нет
1508189;Администрация МО г. Алексин, Управление делопроизводства;Администрация района;;;Тульская обл., Алексинский р-н, Алексин г., ул. Героев-Алексинцев, 10;54.498445;37.064677;+7 (48753) 4-75-07;org;Перерыв на обед 13-00-13-48. Выходные дни- суббота, воскресенье.;кабинет 202;;Нет;Нет
1508190;Тульское предприятие вычислительной техники и информатики;Другое;;;Тульская обл., Алексинский р-н, Алексин г., ул. Ленина, 14а;54.5005;37.067103;+7 (48753) 4-07-69;org;;;;Нет;Нет
1508192;Администрация МО г. Алексин, Управление по бюджету и финансам;Администрация района;;;Тульская обл., Алексинский р-н, Алексин г., ул. Героев-Алексинцев, 10;54.498445;37.064677;+7 (48753) 4-03-56;org;Перерыв на обед с 13-00 до 13-48. Выходные дни- суббота, воскресенье.;кабинет 312;;Нет;Нет
